id,category,question,guidance
1,social,"Які сексуальні табу в сучасному суспільстві давно пора зняти?","Поговоріть про суспільні заборони що впливають на ваше життя. Чи відчуваєте тиск через стереотипи? Які табу здаються застарілими та обмежують особисту свободу?"
2,social,"Чи має секс бути освітнім процесом в суспільстві?","Обговоріть роль сексуальної освіти в формуванні здорових стосунків. Чи достатньо говорять про інтимність в нашій культурі? Що дізналися через власний досвід?"
3,social,"Як медіа та порно впливають на ваші очікування від сексу?","Розкажіть про вплив фільмів, порно та соцмереж на уявлення про інтимність. Чи намагаєтесь відтворювати побачене? Як відрізнити фантазію від реальності?"
4,social,"Чи може секс існувати без емоційної прив'язаності?","Поділіться думками про фізичне задоволення проти емоційної близькості. Що цінніше для вас? Де проводите межі між сексом та коханням?"
5,social,"Як технології змінюють інтимність між людьми?","Обговоріть вплив смартфонів та онлайн-знайомств на близькість. Це еволюція чи деградація? Що технології дають стосункам, а що забирають?"
6,social,"Чи впливає релігія на ваше сприйняття сексуальності?","Розкажіть про конфлікт між релігійними переконаннями та сексуальними потребами. Чи можна поєднати глибоку віру з вільним сексуальним самовираженням?"
7,social,"Як ви ставитесь до ідеї відкритих стосунків?","Обговоріть різні моделі стосунків. Чи природно людині мати одного партнера все життя? Які виклики несуть альтернативні форми любові?"
8,social,"Чи має суспільство право диктувати що є 'нормальним' в сексі?","Поговоріть про межі між приватністю та громадською мораллю. Хто визначає норми сексуальної поведінки? Як захистити право на сексуальну свободу?"
9,social,"Як ви ставитесь до комерціалізації сексу?","Обговоріть етику секс-індустрії від порно до ескорт-послуг. Чи знецінює комерція секс як вираження любові? Як це впливає на звичайні стосунки?"
10,social,"Чи повинні діти отримувати сексуальну освіту в школі?","Поділіться думками про баланс між захистом дитинства та підготовкою до дорослого життя. З якого віку? Хто має викладати - батьки чи школа?"
11,social,"Як зміни в суспільстві вплинули на ваші стосунки?","Розкажіть про еволюцію гендерних ролей та їх вплив на інтимність. Чи стали стосунки більш рівноправними? Що змінилося на краще?"
12,social,"Чи впливають соціальні мережі на вашу самооцінку в сексі?","Обговоріть тиск перфектних фото та стандартів краси. Чи порівнюєте себе з іншими онлайн? Як захистити самооцінку від токсичних впливів?"
13,social,"Як карантин змінив вашу інтимність?","Поділіться досвідом обмежень та їх впливу на близькість. Чи допомогла ізоляція зблизитися або навпаки? Що дізналися про себе за цей час?"
14,social,"Чи важлива різниця в освіті для сексуальної сумісності?","Розкажіть про роль інтелектуальної близькості в стосунках. Чи впливає рівень освіти на якість спілкування про інтимність?"
15,social,"Як фемінізм змінив ваше розуміння сексу?","Обговоріть еволюцію поглядів на жіночу сексуальність та рівноправність. Чи стали стосунки більш відкритими для жіночих потреб?"
16,social,"Чи має значення фінансова незалежність для якості сексу?","Поділіться думками про зв'язок між економічною свободою та сексуальною. Чи впливає фінансовий стрес на інтимність?"
17,social,"Як ваша культура формує уявлення про секс?","Розкажіть про культурні традиції та їх вплив на інтимність. Чи легко подолати культурні обмеження? Що приймаєте, а що відкидаєте?"
18,social,"Чи може міжрасове кохання мати особливості в сексі?","Обговоріть культурні відмінності та їх роль у близькості. Чи є специфічні виклики або переваги в таких стосунках?"
19,social,"Як війна вплинула на вашу сексуальність?","Поділіться досвідом стресу та його впливу на інтимність. Чи допомагає близькість справлятися з травмами? Що змінилося в пріоритетах?"
20,social,"Чи важлива політична сумісність для сексуальних стосунків?","Розкажіть про роль поглядів та цінностей у близькості. Чи можуть кардинально різні погляди зруйнувати інтимність?"
21,social,"Як урбанізація впливає на якість інтимного життя?","Обговоріть особливості сексу в мегаполісі проти провінції. Чи є відмінності в відкритості, можливостях, стресі?"
22,social,"Чи впливає екологія на ваше сексуальне здоров'я?","Поділіться думками про вплив забруднення, стресу міста, харчування на лібідо. Чи помічаєте зв'язок між довкіллям та бажанням?"
23,social,"Як глобалізація змінює інтимні стосунки?","Розкажіть про міжнародні стосунки, культурний обмін, онлайн-знайомства. Чи робить світ інтимність більш уніфікованою?"
24,social,"Чи має значення різниця в соціальному статусі?","Обговоріть владні дисбаланси та їх вплив на рівноправність у сексі. Чи може різниця в статусі покращити або зіпсувати інтимність?"
25,social,"Як зміна клімату впливає на ваші репродуктивні рішення?","Поділіться думками про майбутнє планети та бажання мати дітей. Чи впливає екологічна тривога на сексуальне життя?"
26,psychological,"Як змінилось ваше сприйняття сексу за останні 5 років?","Розкажіть про еволюцію від пристрасті до глибшої близькості. Що допомогло зберегти інтерес? Які етапи проходять довгострокові стосунки?"
27,psychological,"Чи відчуваєте тиск 'виконувати' під час сексу?","Поділіться досвідом очікувань партнера та суспільства. Як справляєтеся з тиском бути ідеальним коханцем? Чи блокує це природне задоволення?"
28,psychological,"Як стрес та втома впливають на ваше лібідо?","Обговоріть зв'язок між ментальним станом та сексуальним бажанням. Які види стресу найбільше впливають? Як відновлюєте інтерес до інтимності?"
29,psychological,"Коли востаннє відчували справжню сексуальну пристрасть?","Опишіть момент повного занурення в близькість. Що його спровокувало? Як зберегти ці спогади і повернути таку інтенсивність відчуттів?"
30,psychological,"Чи є речі в сексі яких боїтеся попросити?","Розкажіть про страх осуду від партнера. Що заважає бути повністю відкритими? Як створити атмосферу довіри для обговорення таємних бажань?"
31,psychological,"Як ваше тіло змінилось з роками і як це вплинуло на секс?","Поділіться досвідом прийняття фізичних змін. Чи обговорюєте це з партнером? Як зберегти впевненість при змінах зовнішності та можливостей тіла?"
32,psychological,"Чи використовуєте секс для втечі від проблем?","Обговоріть інтимність як спосіб уникнення реальності. Коли це здорово, а коли стає проблемою? Як знайти баланс між втечею та вирішенням проблем?"
33,psychological,"Чи є у вас сексуальні ритуали або традиції?","Розкажіть про звички що створюють особливу атмосферу. Як вони з'явились? Які дрібниці або сигнали створюють настрій для близькості?"
34,psychological,"Як ревнощі впливають на вашу сексуальність?","Поділіться досвідом боротьби з ревнощами до минулого партнера. Чи порівнюєте себе з колишніми? Як не дати минулому зруйнувати теперішнє?"
35,psychological,"Чи впливає алкоголь на вашу сексуальну поведінку?","Обговоріть як алкоголь змінює гальма та бажання. Чи потрібний він для розслаблення? Де межа між розкутістю та втратою контролю?"
36,psychological,"Як депресія або тривога впливають на ваш секс?","Розкажіть про зв'язок ментального здоров'я та лібідо. Чи допомагає інтимність справлятися з депресією? Як підтримати партнера в складні періоди?"
37,psychological,"Чи змінюється ваша сексуальність залежно від настрою?","Поділіться тим як емоційний стан впливає на бажання. Чи є у вас різні 'сексуальні особистості'? Як партнер реагує на ці зміни?"
38,psychological,"Які страхи заважають вам повністю розкритися?","Обговоріть внутрішні бар'єри та комплекси. Чи боїтеся осуду, відмови, невдачі? Як подолати ці страхи разом з партнером?"
39,psychological,"Як травматичний досвід вплинув на вашу сексуальність?","Розкажіть про процес зцілення та відновлення довіри. Що допомогло повернути здорове ставлення до інтимності? Яка роль партнера в цьому процесі?"
40,psychological,"Чи є у вас 'сексуальні триггери' що миттєво збуджують?","Поділіться тим що викликає найсильніший відгук. Це запахи, дотики, слова? Як ці триггери сформувалися і чи змінюються з часом?"
41,psychological,"Як ваша самооцінка впливає на якість сексу?","Обговоріть зв'язок між впевненістю в собі та задоволенням від близькості. Чи можете розслабитися коли сумніваєтеся в собі?"
42,psychological,"Чи відчуваєте різницю між 'сексом' та 'заняттям коханням'?","Розкажіть про різні види близькості та їх емоційну глибину. Коли це просто фізично, а коли душевно? Що потрібно для справжньої близькості?"
43,psychological,"Як менструальний цикл впливає на ваші сексуальні потреби?","Поділіться змінами в лібідо та чутливості протягом місяця. Чи обговорюєте це з партнером? Як адаптуватися до гормональних коливань?"
44,psychological,"Чи можете передбачити коли хочете секс?","Обговоріть спонтанність проти планування в інтимності. Чи є у вас певні моменти або ситуації що викликають бажання? Як це узгоджується з партнером?"
45,psychological,"Які емоції найчастіше супроводжують ваш секс?","Розкажіть про емоційну палітру інтимності - від ніжності до пристрасті. Чи завжди це позитивні емоції? Як справлятися зі складними почуттями?"
46,psychological,"Чи впливає ваш голос та звуки на якість близькості?","Поділіться роллю вокального самовираження в сексі. Чи соромитеся видавати звуки? Як голосове спілкування впливає на збудження?"
47,psychological,"Як зміна сезонів впливає на ваше лібідо?","Обговоріть сезонні коливання сексуального бажання. Чи є періоди року коли хочете більше або менше близькості? Що з цим робити?"
48,psychological,"Чи є різниця між тим як ви поводитеся в сексі та в житті?","Розкажіть про різні грані особистості в інтимності та поза нею. Чи дозволяєте собі в сексі те, що заборонено в повсякденності?"
49,psychological,"Як вагітність змінила ваше ставлення до сексу?","Поділіться досвідом змін тіла та сексуальності під час вагітності. Що відкрили нового про себе? Як це вплинуло на стосунки з партнером?"
50,psychological,"Чи впливають ваші сни на сексуальне життя?","Обговоріть роль еротичних снів та фантазій підсвідомості. Чи розповідаєте партнеру про такі сни? Як підсвідоме впливає на реальні бажання?"
51,erotic,"Яка ваша найгарячіша спільна фантазія?","Поділіться мріями що збуджують обох партнерів. Чи наважувались реалізувати? Що заважає втіленню? Як безпечно експериментувати з новими ідеями?"
52,erotic,"Чи є таємна фантазія про яку партнер не знає?","Розкажіть про приватні еротичні мрії. Що стримує від розкриття? Чи має право кожен на сексуальні секрети? Коли варто тримати щось при собі?"
53,erotic,"Яке найнеочіківаніше місце для інтимності ви можете уявити?","Поділіться фантазіями про екзотичні або заборонені локації. Наскільки важливе оточення для збудження? Що робить місце особливо еротичним?"
54,erotic,"Чи фантазуєте про інших людей під час сексу?","Обговоріть роль уяви у підсиленні збудження. Чи нормально це в стосунках? Про кого мрієте? Коли фантазії можуть заважати реальній близькості?"
55,erotic,"Яка роль домінування та підкорення у ваших фантазіях?","Розкажіть про владні ігри в еротичних мріях. Що привабливого в контролі або його втраті? Чи відображають ці фантазії ваші стосунки в реальному житті?"
56,erotic,"Що збуджує вас найбільше у партнері?","Поділіться тим що викликає найсильніше бажання. Це зовнішність, поведінка чи щось інше? Як ці тригери змінювались з часом у ваших стосунках?"
57,erotic,"Чи є у вас фетиші або особливі вподобання?","Розкажіть про речі що надають особливого збудження. Як ви їх відкрили? Чи комфортно ділитися цим з партнером? Як інтегрувати це в стосунки?"
58,erotic,"Яка ваша найеротичніша мрія що ніколи не здійсниться?","Обговоріть неможливі фантазії та їх роль у збудженні. Чому деякі мрії краще залишати нереалізованими? Що робить заборонене таким привабливим?"
59,erotic,"Чи подобається вам говорити брудно під час сексу?","Поділіться думками про вербальну еротику. Які слова збуджують найбільше? Чи легко вам висловлювати бажання словами? Як знайти свій еротичний словник?"
60,erotic,"Який одяг або білизна збуджує вас найбільше?","Розкажіть про роль одягу в еротиці. Що подобається бачити на партнері? Чи любите одягатися для збудження? Як одяг впливає на самопочуття в сексі?"
61,erotic,"Чи є у вас улюблені еротичні ролі або персонажі?","Поділіться тим як рольові ігри збагачують інтимність. Які образи найбільше збуджують? Чи легко входити в роль? Що дає така гра?"
62,erotic,"Яке найінтимніше місце на вашому тілі?","Розкажіть про зони особливої чутливості та їх роль у збудженні. Чи змінюються ці місця з часом? Як відкривали їх для себе?"
63,erotic,"Чи є у вас еротичні традиції або ритуали?","Обговоріть особливі дії що підвищують збудження. Це може бути музика, запахи, дотики. Як вони сформувалися і чому важливі?"
64,erotic,"Яка найсміливіша річ яку ви робили в сексі?","Поділіться моментом коли переступили через власні межі. Що дало сміливість? Чи змінило це ваше сприйняття власних можливостей?"
65,erotic,"Чи використовуєте іграшки або аксесуари в сексі?","Розкажіть про роль додаткових предметів у підсиленні задоволення. Як вони з'явились у вашому житті? Чи покращують вони близькість з партнером?"
66,erotic,"Які позиції приносять вам найбільше задоволення?","Обговоріть фізичні аспекти близькості та індивідуальні переваги. Чи експериментуєте з новим? Що важливіше - фізичне задоволення чи емоційна близькість?"
67,erotic,"Чи є в сексі щось що ви категорично не приймаєте?","Поділіться своїми межами та табу. Як їх встановлювали? Чи можуть вони змінюватися з часом або партнером?"
68,erotic,"Яка роль фантазій під час мастурбації?","Розкажіть про приватну еротику та її відмінність від парного сексу. Чи є речі що уявляєте наодинці, але не робите з партнером?"
69,erotic,"Чи подобається вам дивитися як ваше тіло реагує на збудження?","Обговоріть візуальну складову сексуальності. Чи збуджує вас власна реакція? Як ставитеся до дзеркал або камер у спальні?"
70,erotic,"Які запахи асоціюються у вас з сексом?","Поділіться роллю нюху в еротиці. Чи є запахи що миттєво збуджують? Як використовуєте парфуми або природні аромати для підсилення настрою?"
71,erotic,"Чи є у вас улюблений час доби для сексу?","Розкажіть про біоритми та їх вплив на сексуальну активність. Коли відчуваєте найбільше бажання? Чи збігається це з режимом партнера?"
72,erotic,"Які дотики збуджують вас найбільше?","Обговоріть тактильну чутливість та індивідуальні переваги. Це ніжні дотики чи більш інтенсивні? Чи змінюються уподобання залежно від настрою?"
73,erotic,"Чи подобається вам коли партнер бере ініціативу?","Поділіться думками про активність та пасивність у сексі. Коли приємно віддати контроль? Як почуваєтеся в ролі того хто отримує задоволення?"
74,erotic,"Які слова збуджують вас найбільше?","Розкажіть про силу мови в еротиці. Це ніжні слова чи більш відверті? Чи є фрази що миттєво підвищують збудження?"
75,erotic,"Чи є у вас еротичні спогади що й досі збуджують?","Обговоріть роль пам'яті в сексуальному збудженні. Які моменти з минулого найяскравіші? Чи діляться такими спогадами з поточним партнером?"
76,funny,"Який найкумедніший сексуальний момент трапився з вами?","Поділіться смішними ситуаціями в ліжку. Як гумор вплинув на ваші стосунки? Чи допоміг сміх розвантажити напружену ситуацію? Чи можна сміятися над собою в сексі?"
77,funny,"Якби секс був олімпійським видом спорту?","Уявіть у якій дисципліні ви змагались би. Які були б критерії оцінювання? Які рекорди могли б встановити? Хто був би вашим тренером?"
78,funny,"Якби ви могли винайти новий контрацептив?","Придумайте найабсурдніші способи захисту. Які фантастичні властивості він мав би? Що було б найсмішнішого в такому винаході? Які проблеми він вирішив би?"
79,funny,"Яке найдивніше місце де у вас виникло сексуальне бажання?","Розкажіть про найнедоречніші моменти збудження. Як справились з цією ситуацією? Чи довелося винаходити виправдання? Чи сміялися з цього пізніше?"
80,funny,"Якби секс мав звуковий супровід як у фільмі?","Уявіть ідеальний саундтрек до вашої інтимності. Який жанр музики підходив би? Чи змінювався б плейлист залежно від настрою та інтенсивності?"
81,funny,"Які найдивніші поради про секс ви коли-небудь чули?","Поділіться абсурдними порадами від друзів або з інтернету. Чи пробували якісь з них? Що виявилось найбільш безглуздим або навіть шкідливим?"
82,funny,"Якби ви писали інструкцію до свого тіла?","Уявіть керівництво користувача для вашого тіла в сексі. Які попередження та поради ви б включили? Що було б написано дрібним шрифтом?"
83,funny,"Який найнезграбніший момент 'передгри' ви пам'ятаєте?","Розкажіть про невдалі спроби романтики або збудження. Як це вплинуло на настрій? Чи навчили вас такі моменти чомусь важливому?"
84,funny,"Якби секс-освіта викладалась як кулінарія?","Які би були рецепти та інгредієнти? Як виглядала б кухня для таких уроків? Які страви були б у меню для початківців та професіоналів?"
85,funny,"Чи є сексуальні рухи які виглядають смішно збоку?","Поділіться думками про те як може виглядати секс для стороннього спостерігача. Які позиції здаються найбільш абсурдними? Чи заважає це вам розслабитись?"
86,funny,"Якби тварини могли коментувати людський секс?","Уявіть що сказали б домашні улюбленці про те що бачать. Які коментарі були б найсмішнішими? Чи заважають вам тварини в інтимні моменти?"
87,funny,"Які найдивніші звуки ви видавали під час сексу?","Розкажіть про неконтрольовані звуки що можуть з'являтися в пристрасті. Чи соромно за них? Як реагує партнер на несподівані звукові ефекти?"
88,funny,"Якби секс мав рейтингову систему як фільми?","Придумайте критерії оцінювання різних видів близькості. Що було б G, PG, R рейтингом для сексу? Які 'спецефекти' підвищували б рейтинг?"
89,funny,"Чи є одяг який автоматично знищує романтичний настрій?","Поділіться кумедними випадками з одягом що зіпсував момент. Які речі найменш сексуальні? Чи можна бути збуджуючим в будь-якому вбранні?"
90,funny,"Якби ви озвучували порно як документальний фільм?","Уявіть як звучав би науковий коментар до інтимних сцен. Які терміни використовували б? Як би це змінило сприйняття сексу?"
91,funny,"Які б були назви коктейлів в сексуальному барі?","Придумайте кумедні назви напоїв натхненних інтимністю. Які інгредієнти входили б до складу? Яким був би ефект від таких коктейлів?"
92,funny,"Чи є сексуальні помилки які повторюєте знову і знову?","Розкажіть про кумедні звички або помилки що стали традицією. Чому не можете від них позбутися? Чи сміються з цього разом з партнером?"
93,funny,"Якби секс був видом мистецтва в музеї?","Уявіть експозицію присвячену інтимності. Які експонати були б найцікавішими? Як виглядали б екскурсії? Що написали б в описах?"
94,funny,"Які найдивніші речі ви знаходили в ліжку наступного ранку?","Поділіться несподіваними знахідками після пристрасної ночі. Звідки взялися ці речі? Чи допомагають такі моменти зберегти легкість у стосунках?"
95,funny,"Якби ваш секс був реаліті-шоу?","Придумайте формат передачі про ваше інтимне життя. Хто був би суддями? Які номінації існували б? Що стало б найрейтинговішим моментом?"
96,funny,"Чи є у сексі моменти коли хочеться зробити паузу на рекламу?","Розкажіть про часи коли потрібна 'технічна перерва'. Що робите в такі моменти? Як зберегти настрій після вимушеної паузи?"
97,funny,"Які б були правила етикету для сексу?","Придумайте кодекс ввічливості для інтимності. Що було б найважливішими правилами? Які порушення етикету найгірші? Хто встановлював би стандарти?"
98,funny,"Якби ваші сексуальні партнери писали відгуки як на товар?","Уявіть рейтинги та коментарі про ваші здібності в ліжку. Скільки зірок отримали б? Які плюси та мінуси відзначили б? Чи читали б такі відгуки?"
99,funny,"Чи є фрази які миттєво вбивають романтику?","Поділіться словами або виразами що зіпсували настрій. Які теми краще не піднімати в інтимні моменти? Як швидко відновити атмосферу після такого?"
100,funny,"Якби секс мав систему досягнень як у відеоіграх?","Придумайте нагороди та трофеї за різні активності. Які досягнення були б найскладнішими? Що давало б найбільше очок досвіду?"
101,controversial,"Чи існують сексуальні правила які не можна порушувати?","Обговоріть абсолютні заборони в інтимності. Хто встановлює ці правила? Коли порушення може бути корисним для стосунків, а коли небезпечним?"
102,controversial,"Чи може згода бути відкликана під час сексу?","Поділіться думками про важливість постійної згоди. Як реагувати на зміну настрою партнера? Які сигнали дискомфорту важливо вчасно помічати?"
103,controversial,"Чи має людина право на секс як на основну потребу?","Обговоріть інтимність як право людини. Хто відповідальний за задоволення цієї потреби? Що робити самотнім людям? Де межі особистих прав та суспільної відповідальності?"
104,controversial,"Чи може порнографія покращувати реальні стосунки?","Поділіться думками про роль порно у вашому житті. Це освіта чи деформація уявлень про секс? Чи дивитесь разом з партнером або окремо?"
105,controversial,"Чи справедливі різні стандарти для чоловіків та жінок?","Розкажіть про подвійні стандарти в сексуальній поведінці. Як гендерні стереотипи впливають на ваші стосунки? Чи можна подолати ці упередження?"
106,controversial,"Чи виправданий 'сексуальний шантаж' у стосунках?","Обговоріть використання інтимності як інструменту впливу. Де межа між встановленням меж та маніпуляціями? Як захиститися від сексуального тиску?"
107,controversial,"Чи може віковий розрив впливати на якість сексу?","Поділіться думками про стосунки з великою різницею у віці. Які переваги та виклики це несе? Як різний досвід впливає на сумісність?"
108,controversial,"Чи існує 'правильна' кількість сексуальних партнерів?","Розкажіть про ставлення до сексуального досвіду. Чи важлива кількість попередніх партнерів? Як минуле впливає на теперішні стосунки?"
109,controversial,"Чи може секс без любові бути морально виправданим?","Обговоріть етику випадкових зв'язків. Чи завжди потрібна емоційна близькість? Які відповідальності несуть партнери у такому сексі?"
110,controversial,"Чи має право партнер знати про всі ваші фантазії?","Поділіться думками про межі відкритості. Чи можуть деякі таємниці зашкодити стосункам? Коли приховування виправдане, а коли шкідливе?"
111,controversial,"Чи прийнятна зрада якщо стосунки в кризі?","Розкажіть про межі вірності та обставини що можуть їх змінити. Чи є виправдання для зради? Як кризи впливають на сексуальну мораль?"
112,controversial,"Чи може релігійність покращити сексуальне життя?","Обговоріть роль духовності в інтимності. Чи допомагає віра створити глибший зв'язок? Як поєднати релігійні заборони з природними потребами?"
113,controversial,"Чи має значення орієнтація для якості стосунків?","Поділіться думками про різні форми сексуальності. Чи впливає орієнтація на глибину близькості? Як суспільство може краще підтримувати різноманітність?"
114,controversial,"Чи виправдано приховувати венеричні захворювання?","Розкажіть про етику розкриття інформації про здоров'я. Які є обов'язки перед партнером? Як захистити себе не образивши іншого?"
115,controversial,"Чи може проституція бути етичною за певних умов?","Обговоріть комерціалізацію сексу та права секс-працівників. Чи може це бути вільним вибором? Як суспільство має ставитися до цієї сфери?"
116,controversial,"Чи справедливо судити людину за її сексуальні вподобання?","Поділіться думками про толерантність до різних практик. Де межа між прийняттям та засудженням? Хто має право встановлювати норми?"
117,controversial,"Чи може сексуальна несумісність виправдати розлучення?","Розкажіть про роль інтимності в довгострокових стосунках. Наскільки важливий секс для збереження шлюбу? Чи можна це вирішити?"
118,controversial,"Чи прийнятно використовувати секс для досягнення цілей?","Обговоріть межі між спокусою та маніпуляцією. Коли це гра, а коли зловживання? Як розпізнати чесні наміри партнера?"
119,controversial,"Чи має право суспільство регулювати приватне життя?","Поділіться думками про межі державного втручання в інтимність. Які аспекти сексу мають залишатися приватними? Де баланс між свободою та мораллю?"
120,controversial,"Чи може сексуальна освіта зашкодити дітям?","Розкажіть про баланс між захистом та підготовкою молодого покоління. З якого віку варто говорити про секс? Хто має це робити?"
121,controversial,"Чи виправдано засуджувати 'нетрадиційні' практики?","Обговоріть толерантність до БДСМ, фетишів та інших форм сексуальності. Де межа між здоровим та шкідливим? Хто це визначає?"
122,controversial,"Чи може інцест бути прийнятним між дорослими?","Поділіться думками про найконтроверсійніші табу. Чи є абсолютні заборони? Як біологія та психологія впливають на мораль?"
123,controversial,"Чи має право людина вимагати сексу від партнера?","Розкажіть про баланс потреб у стосунках. Які є права та обов'язки? Як узгоджувати різні рівні лібідо без примусу?"
124,controversial,"Чи може порно бути формою мистецтва?","Обговоріть межі між еротикою та порнографією. Чи може комерційний секс нести художню цінність? Як це впливає на суспільні норми?"
